REGISTRO_ANCINE,DATA_REGISTRO,RAZAO_SOCIAL,CNPJ,MUNICIPIO,CD_MUNICIPIO_IBGE,UF,CLASSIFICACAO_AGENTE_ECONOMICO
38965,2018-03-01,GALERIA PRODUÇÕES LTDA - ME,28.888.586/0001-91,SANTANA DE PARNAÍBA,3547304.0,SP,Brasileiro independente 
38961,2018-03-01,AS2 AUDIOVISUAL ARTES & CULTURA LTDA,05.654.098/0001-14,FORTALEZA,2304400.0,CE,Brasileiro independente 
38966,2018-03-01,MARGOT PRODUÇÕES E EVENTOS LTDA,08.489.952/0001-22,RECIFE,2611606.0,PE,Brasileiro independente 
38963,2018-03-01,FERNANDES & ALMEIDA ESTUDIOS LTDA - ME,29.048.806/0001-31,SÃO PAULO,3550308.0,SP,Brasileiro independente 
38960,2018-03-01,FABIANA LOPES DA SILVA 32262075808,26.260.049/0001-77,JANDIRA,3525003.0,SP,Brasileiro independente 
38967,2018-03-01,JONES LUIZ DE CASTILHOS 40307964000,13.754.308/0001-74,CAXIAS DO SUL,4305108.0,RS,Brasileiro independente 
38964,2018-03-01,DANIEL DE ARAUJO PINTO PUBLICADE ME,10.542.880/0001-81,SÃO PAULO,3550308.0,SP,Brasileiro independente 
47824,2021-03-01,GMNET TELECOMUNICACOES LTDA,10.327.379/0001-00,RECIFE,2611606.0,PE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47822,2021-03-01,ELO.NET TECNOLOGIA LTDA,10.603.527/0001-64,SÃO JOÃO NEPOMUCENO,3162906.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47830,2021-03-01,MOBI CINE GURUPI LTDA,38.410.834/0001-48,GURUPI,1709500.0,TO,Brasileiro independente 
47823,2021-03-01,FALA PRODUÇÕES E FILMES EIRELI,34.485.323/0001-34,SÃO PAULO,3550308.0,SP,Brasileiro independente 
47821,2021-03-01,OXE PRODUÇÃO CULTURAL LTDA,35.072.320/0001-31,SANTO ANTÔNIO DE JESUS,2928703.0,BA,Brasileiro independente 
47825,2021-03-01,CARLOS HENRIQUE BATISTA,27.143.337/0001-04,CAMPINAS,3509502.0,SP,Brasileiro independente 
47820,2021-03-01,DRUIDA FILMES LTDA,40.494.289/0001-67,CABO FRIO,3300704.0,RJ,Brasileiro independente 
52908,2023-03-01,ARLINDO DE JESUS LEMES DA SILVA JUNIOR CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,42.054.666/0001-72,SÃO PAULO,3550308.0,SP,Brasileiro independente 
52911,2023-03-01,FTD PRODUCOES ARTISTICAS LTDA,41.508.027/0001-77,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
1166,2003-04-01,CLEAR LIGHT COMUNICAÇÃO LTDA,03.609.296/0001-30,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
173,2003-04-01,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,03.599.148/0001-82,SÃO PAULO,3550308.0,SP,Brasileiro
3598,2005-04-01,MIQUELLY ANDREZA ARAÚJO SOUSA,06.352.519/0001-15,CAMPINA GRANDE,2504009.0,PB,Brasileiro independente 
3601,2005-04-01,CENA 1 PRODUÇÕES LTDA,26.822.874/0001-18,CAMPO GRANDE,5002704.0,MS,Brasileiro independente 
18535,2011-04-01,SANFONA FILMES LTDA,13.409.942/0001-70,UBERLÂNDIA,3170206.0,MG,Brasileiro independente 
18536,2011-04-01,ORGANISMO FILMES LTDA.,03.614.486/0001-46,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
23582,2013-04-01,HALLYWOOD - SOLUÇÕES DIGITAIS - EIRELI - EPP,17.162.833/0001-51,SÃO PAULO,3550308.0,SP,Brasileiro independente 
23594,2013-04-01,GULARE FILMES EIRELI,13.899.769/0001-35,SÃO PAULO,3550308.0,SP,Brasileiro independente 
23591,2013-04-01,ESTUDIO ZIP PRODUÇÃO AUDIOVISUAL LTDA ME,12.675.057/0001-70,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
23585,2013-04-01,JPO ENTERTAINMENT LTDA,14.574.635/0001-07,BARUERI,3505708.0,SP,Brasileiro independente 
23581,2013-04-01,MIDIA Z PRODUCOES LTDA - ME,17.252.551/0001-45,SANTA TEREZINHA DE ITAIPU,4124053.0,PR,Brasileiro independente 
23597,2013-04-01,NOVO INTERIOR COMUNICACOES LTDA.,01.882.185/0001-78,ITAPETININGA,3522307.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
29527,2015-04-01,CHAUI CRIAÇÕES LTDA.,12.432.201/0001-47,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
29530,2015-04-01,SKY VIDEO COMUNICAÇÕES LTDA - ME,19.907.446/0001-22,SÃO PAULO,3550308.0,SP,Brasileiro independente 
32537,2016-04-01,NOCHES PRODUÇÕES LTDA,23.690.989/0001-08,NITERÓI,3303302.0,RJ,Brasileiro independente 
42629,2019-04-01,CUENTOS Y CIRCO AGENCIA DE CONTEÚDO LTDA,30.523.554/0001-34,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
42622,2019-04-01,SP PRODUTORA LTDA,33.181.158/0001-64,BARUERI,3505708.0,SP,Brasileiro independente 
42617,2019-04-01,ASSOCIAÇÃO CULTURA INGLESA - SÃO PAULO,61.793.907/0001-40,SÃO PAULO,3550308.0,SP,Brasileiro
42616,2019-04-01,JOAQUIM LACERDA MENDES DE MORAIS ME,13.448.844/0001-41,BALNEÁRIO CAMBORIÚ,4202008.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42615,2019-04-01,MONIQUE APARECIDA DOS SANTOS RANGEL 08109350666,33.174.953/0001-25,LEOPOLDINA,3138401.0,MG,Brasileiro independente 
42618,2019-04-01,MARCOS VICTOR MEIRELLES DOS SANTOS,16.493.403/0001-50,RIO DE JANEIRO,3304557.0,RJ,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42623,2019-04-01,GUSTAVO NOGARETT PIBERNAT DE CARVALHO ME,09.185.785/0001-99,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
42620,2019-04-01,2 RIOS PROPAGANDA E PROJETOS LTDA,29.534.490/0001-98,TERESINA,2211001.0,PI,Brasileiro independente 
45448,2020-04-01,NICOLE GROSMAN FISCHER,20.247.057/0001-05,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45447,2020-04-01,LX MARKETING BRASIL LTDA,23.501.027/0001-63,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45449,2020-04-01,MB NEGOCIOS DIGITAIS LTDA,12.293.761/0001-68,BELO HORIZONTE,3106200.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
45440,2020-04-01,ENTRE PONTOS FILMES E PRODUÇÕES ARTÍSTICAS LTDA,34.523.397/0001-18,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45446,2020-04-01,JHESSE ALVES DUQUE DE SOUZA 48373120807,29.916.662/0001-98,SANTO ANDRÉ,3547809.0,SP,Brasileiro independente 
50877,2022-04-01,"EDMILSON DOS SANTOS EVENTOS, FILMAGENS E PRODUÇÕES",17.608.153/0001-19,NATAL,2408102.0,RN,Brasileiro independente 
50880,2022-04-01,SANDRA MARIA DOS SANTOS MENEZES 49597850710,27.976.597/0001-60,RIO DE JANEIRO,3304557.0,RJ,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
50882,2022-04-01,COENTRO PRODUÇÕES LTDA,44.473.145/0001-85,SANTANA DE PARNAÍBA,3547304.0,SP,Brasileiro independente 
50878,2022-04-01,CONDOMÍNIOS PELO MUNDO LTDA,44.967.219/0001-30,RIBEIRÃO PRETO,3543402.0,SP,Brasileiro independente 
12517,2007-06-01,ROSÂNGELA APARECIDA FERNANDES BELLUZZO - ME,04.838.055/0001-26,BARIRI,3505203.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
12510,2007-06-01,MIDSUMMER MADNESS PRODUÇÕES AUDIOVISUAIS LTDA,05.862.077/0001-94,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
15538,2009-06-01,TV GUARARAPES S.A.,01.769.569/0001-89,RECIFE,2611606.0,PE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
15539,2009-06-01,ILLUMINATI PRODUÇÕES CINEMATOGRAFICAS LTDA,10.338.221/0001-28,BRASÍLIA,5300108.0,DF,Brasileiro independente 
18988,2011-06-01,TRAILER CASULAZUL LTDA,09.527.739/0001-20,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
18990,2011-06-01,O QUADRO PRODUÇÕES LTDA. ME,12.298.240/0001-01,CURITIBA,4106902.0,PR,Brasileiro independente 
30119,2015-06-01,IMAGEM NO AR PRODUÇÕES E EVENTOS EIRELI,21.927.758/0001-40,BRASÍLIA,5300108.0,DF,Brasileiro independente 
36582,2017-06-01,J E J MARKETING PARTICIPACOES EIRELI,11.285.168/0001-07,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
36587,2017-06-01,CMC TELECOMUNICAÇÕES LDTA ME,02.445.652/0001-65,NOVA FRIBURGO,3303401.0,RJ,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
40013,2018-06-01,UNIVERSO DE ESTUDOS - UNIESTUDOS LTDA,30.468.733/0001-16,ARACAJU,2800308.0,SE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
40011,2018-06-01,GUSTAVO CABRAL DE VASCONCELLOS PRODUÇOES,12.642.339/0001-70,SÃO PAULO,3550308.0,SP,Brasileiro independente 
40012,2018-06-01,OKL DEVELOPMENT STUDIO LTDA.,26.167.253/0001-48,PORTO ALEGRE,4314902.0,RS,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
40014,2018-06-01,THEO DUBEUX AMADO,18.408.425/0001-08,SÃO SEBASTIÃO,3550704.0,SP,Brasileiro independente 
45801,2020-06-01,RM PRODUÇÕES EIRELI,34.301.817/0001-11,BRASÍLIA,5300108.0,DF,Brasileiro independente 
45799,2020-06-01,MOV PRODUCOES CULTURAIS LTDA,12.953.673/0001-45,BARUERI,3505708.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
45798,2020-06-01,IMPAR COMUNICACAO E MARKETING EIRELI,27.003.209/0001-65,MACAPÁ,1600303.0,AP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
45802,2020-06-01,JOAO CARLOS QUINTINO LEITE 21797500805,36.462.112/0001-01,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45800,2020-06-01,RODRIGO DE FREITAS 10617104913,29.272.692/0001-09,FLORIANÓPOLIS,4205407.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
48530,2021-06-01,VICENTE BJERK DE BRITTO 02945721040,34.241.668/0001-42,PELOTAS,4314407.0,RS,Brasileiro independente 
48535,2021-06-01,URBANI COMUNICACAO LTDA,40.916.021/0001-76,ABAETETUBA,1500107.0,PA,Brasileiro independente 
48533,2021-06-01,ADRIANA JUNGBLUTH PRODUTORA DE CONTEÚDO AUDIOVISUAL ME,29.591.535/0001-66,JUNDIAÍ,3525904.0,SP,Brasileiro independente 
48534,2021-06-01,IZABELA MORTARI VARGAS,02.895.908/0001-36,SÃO PAULO,3550308.0,SP,Brasileiro independente 
48539,2021-06-01,EDMAR BRUNO DE SOUZA ALMEIDA 36153505880,34.120.307/0001-48,FRANCISCO MORATO,3516309.0,SP,Brasileiro independente 
48525,2021-06-01,FLAVOR ESTUDIO DE CRIATIVIDADE LTDA,22.359.082/0001-06,CURITIBA,4106902.0,PR,Brasileiro independente 
48524,2021-06-01,"BUSTER COMUNICAÇÃO, PRODUÇÃO E CRIAÇÃO DE CONTEÚDO LTDA - ME",23.368.494/0001-67,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
48538,2021-06-01,ALEXANDRE OCDY 25991412812,28.749.092/0001-26,RIBEIRÃO PRETO,3543402.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
48523,2021-06-01,VENTURA E ARTES PRODUCOES LTDA ME,10.670.209/0001-16,SÃO PAULO,3550308.0,SP,Brasileiro independente 
48532,2021-06-01,JOAO MIGUEL BALDIN FARAH 42826737880,36.075.782/0001-75,PERUÍBE,3537602.0,SP,Brasileiro independente 
48526,2021-06-01,J BEZERRA DA SILVA SERVIÇOS FOTOGRÁFICOS,34.957.039/0001-13,NATAL,2408102.0,RN,Brasileiro independente 
48528,2021-06-01,VOXEL PRODUTORA LTDA,40.254.937/0001-08,UBERLÂNDIA,3170206.0,MG,Brasileiro independente 
48529,2021-06-01,DIEGO E RAY PRODUÇÕES ARTISTICAS LTDA,34.757.752/0001-13,APARECIDA DE GOIÂNIA,5201405.0,GO,Brasileiro independente 
48536,2021-06-01,PARALELO FILMES LTDA,40.851.186/0001-07,ATIBAIA,3504107.0,SP,Brasileiro independente 
48527,2021-06-01,KINOK VIDEO E JORNALISMO EIRELI,07.257.559/0001-40,SÃO PAULO,3550308.0,SP,Brasileiro independente 
51348,2022-06-01,MAGNIFICT CREATIVE AGENCY LTDA.,29.412.248/0001-41,BARUERI,3505708.0,SP,Brasileiro independente 
51351,2022-06-01,ANDERSON PEREIRA LIMA 35202865805,27.013.938/0001-00,SÃO PAULO,3550308.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
51346,2022-06-01,TCHÉQUIA PRODUÇÕES ARTÍSTICAS LTDA,42.694.135/0001-44,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
51352,2022-06-01,ABILIO SAMUEL DIAS 36867227805,20.683.647/0001-72,SÃO PAULO,3550308.0,SP,Brasileiro independente 
51345,2022-06-01,MADORO PRODUCOES LTDA,45.512.013/0001-88,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
51341,2022-06-01,MOVIEPLEX ENTRETENIMENTO LTDA,46.258.614/0001-79,PICOS,2208007.0,PI,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
51347,2022-06-01,MISTURA BR PRODUÇÕES ARTISTICAS LTDA,40.795.983/0001-14,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
51350,2022-06-01,TIAGO TAVARES MATIAS 05826701790,45.625.428/0001-68,TRÊS RIOS,3306008.0,RJ,Brasileiro independente 
51343,2022-06-01,VITOR HUGO ALVES RAMIL - ME,01.423.316/0001-59,PELOTAS,4314407.0,RS,Brasileiro independente 
51340,2022-06-01,FALA FILMES ATIVIDADES DE PRODUCAO CINEMATOGRAFICA LTDA,46.276.331/0001-50,CURITIBA,4106902.0,PR,Brasileiro independente 
51349,2022-06-01,CAIO CESAR SANTOS TAVARES 04378098547,26.414.120/0001-29,SALVADOR,2927408.0,BA,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
51344,2022-06-01,POMODORO COMUNICAÇÃO SOCIAL - LEONEL GROUP LTDA,27.518.807/0001-77,MARINGÁ,4115200.0,PR,Brasileiro independente 
327,2002-07-01,TYCOON ESTÚDIOS CINEMATOGRÁFICOS LTDA.,28.835.544/0001-92,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
331,2002-07-01,START DESENHOS ANIMADOS LTDA,60.915.899/0001-02,SÃO PAULO,3550308.0,SP,Brasileiro independente 
315,2002-07-01,VAGALUME PRODUÇÕES CINEMATOGRÁFICAS LTDA.-ME,54.306.055/0001-53,SÃO PAULO,3550308.0,SP,Brasileiro independente 
2064,2004-07-01,VEGA PRODUÇÕES EIRELI,03.478.392/0001-97,BRASÍLIA,5300108.0,DF,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
2042,2004-07-01,SOL EDITORAÇÃO LTDA.,02.034.760/0001-45,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
4356,2005-07-01,ESTAÇÃO 3 IMAGENS E MÍDIAS LTDA,00.374.607/0001-31,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
4359,2005-07-01,INSTITUTO MAZZAROPI,04.041.136/0001-09,TAUBATÉ,3554102.0,SP,Brasileiro independente 
14012,2008-07-01,ZMD FILMES EIRELI,09.601.803/0001-76,DOURADOS,5003702.0,MS,Brasileiro independente 
15693,2009-07-01,INFRAVERMELHO FILMES LTDA,10.721.680/0001-96,SÃO PAULO,3550308.0,SP,Brasileiro independente 
15688,2009-07-01,CINEMA EM DIA LTDA,10.376.313/0001-00,NITERÓI,3303302.0,RJ,Brasileiro independente 
15690,2009-07-01,CINEMAS BENFICA LTDA,07.509.597/0001-43,FORTALEZA,2304400.0,CE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
15699,2009-07-01,Z10-PRODUCAO E COMUNICACAO LTDA,09.254.829/0001-95,SÃO PAULO,3550308.0,SP,Brasileiro independente 
15694,2009-07-01,RENATO MAGALHÃES,10.805.748/0001-15,VARGINHA,3170701.0,MG,Brasileiro independente 
17324,2010-07-01,CONDE DE IRAJÁ PRODUÇÕES LTDA ME,07.763.281/0001-83,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
24508,2013-07-01,AMORA FILMES LTDA.,17.293.506/0001-39,MACAPÁ,1600303.0,AP,Brasileiro independente 
24517,2013-07-01,KELONIK DO BRASIL SERVIÇOS DIGITAIS LTDA,16.558.038/0001-14,RIO DE JANEIRO,3304557.0,RJ,Brasileiro
24509,2013-07-01,MIRARTES FILMES LTDA,15.131.165/0001-70,VITÓRIA,3205309.0,ES,Brasileiro independente 
24510,2013-07-01,APTA PRODUTORA COMUNICAÇÃO E MARKETING LTDA.-ME,17.172.879/0001-51,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
27075,2014-07-01,NUCLEO INDEPENDENTE DE PRODUÇÃO LTDA. - EPP,19.604.083/0001-56,SÃO PAULO,3550308.0,SP,Brasileiro independente 
30353,2015-07-01,OFILA FILMES LTDA,17.368.529/0001-65,SÃO PAULO,3550308.0,SP,Brasileiro independente 
30354,2015-07-01,VIDEOMAR REDE NORDESTE S/A,63.356.042/0001-80,FORTALEZA,2304400.0,CE,Brasileiro
30351,2015-07-01,"OQ FAZER ONLINE, COMÉRIO, AGÊNCIA, PRODUÇÕES E EVENTOS LTDA.",20.329.881/0001-04,SÃO PAULO,3550308.0,SP,Brasileiro independente 
33467,2016-07-01,MAIS MÚSICA PRODUÇÕES ARTÍSTICAS LTDA,24.979.771/0001-30,TERESÓPOLIS,3305802.0,RJ,Brasileiro independente 
33469,2016-07-01,ARTES & BYTES COMPUTAÇÃO GRÁFICA LTDA.,38.883.450/0001-42,SÃO PAULO,3550308.0,SP,Brasileiro independente 
33465,2016-07-01,"BARROS, FARIAS E HOLANDA FILMAGENS E EVENTOS LTDA - ME",17.912.391/0001-13,MACEIÓ,2704302.0,AL,Brasileiro independente 
33470,2016-07-01,CADENZA FILMES LTDA EPP,23.431.564/0001-84,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
43337,2019-07-01,MARCELO FONSECA DE CASTRO FILHO 35818337863,29.600.273/0001-59,CAMPINAS,3509502.0,SP,Brasileiro independente 
43331,2019-07-01,SAILOR STUDIO PRODUÇÕES LTDA.,33.496.758/0001-11,SÃO PAULO,3550308.0,SP,Brasileiro independente 
43338,2019-07-01,NAVAN PRODUCOES E COMUNICACAO EIRELI,33.536.499/0001-05,SÃO PAULO,3550308.0,SP,Brasileiro independente 
43328,2019-07-01,RODRIGO JOSE DE MORAIS 09683322425,22.461.408/0001-01,NATAL,2408102.0,RN,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
